cible,cote,equipe,attaque,defense,moyenne_ligue,n_matchs,n_equipes,lissage,demi_vie,gain_valide_pct,periode,ligues
smt_tirs_dom,dom,Pau,1.0741,0.8744,7.4303,8076,310,8,25.0,0.04,02/08/2024 - 01/08/2026,Bundesliga / Championship / LaLiga / LaLiga 2 / Ligue 1 / Ligue 2 / MLS / Premier League
smt_tirs_dom,dom,DC United,0.957,1.0116,7.4303,8076,310,8,25.0,0.04,02/08/2024 - 01/08/2026,Bundesliga / Championship / LaLiga / LaLiga 2 / Ligue 1 / Ligue 2 / MLS / Premier League
smt_tirs_dom,dom,St. Lavallois,0.7786,1.0342,7.4303,8076,310,8,25.0,0.04,02/08/2024 - 01/08/2026,Bundesliga / Championship / LaLiga / LaLiga 2 / Ligue 1 / Ligue 2 / MLS / Premier League
smt_tirs_dom,dom,Fulham,1.0069,0.8982,7.4303,8076,310,8,25.0,0.04,02/08/2024 - 01/08/2026,Bundesliga / Championship / LaLiga / LaLiga 2 / Ligue 1 / Ligue 2 / MLS / Premier League
smt_tirs_dom,dom,Villarreal,0.978,1.0326,7.4303,8076,310,8,25.0,0.04,02/08/2024 - 01/08/2026,Bundesliga / Championship / LaLiga / LaLiga 2 / Ligue 1 / Ligue 2 / MLS / Premier League
smt_tirs_dom,dom,Leganes,0.9194,1.0722,7.4303,8076,310,8,25.0,0.04,02/08/2024 - 01/08/2026,Bundesliga / Championship / LaLiga / LaLiga 2 / Ligue 1 / Ligue 2 / MLS / Premier League
smt_tirs_dom,dom,Castellon,1.1063,0.8825,7.4303,8076,310,8,25.0,0.04,02/08/2024 - 01/08/2026,Bundesliga / Championship / LaLiga / LaLiga 2 / Ligue 1 / Ligue 2 / MLS / Premier League
smt_tirs_dom,dom,Lille,0.9796,0.8164,7.4303,8076,310,8,25.0,0.04,02/08/2024 - 01/08/2026,Bundesliga / Championship / LaLiga / LaLiga 2 / Ligue 1 / Ligue 2 / MLS / Premier League
smt_tirs_dom,dom,Aston Villa,1.0771,1.0398,7.4303,8076,310,8,25.0,0.04,02/08/2024 - 01/08/2026,Bundesliga / Championship / LaLiga / LaLiga 2 / Ligue 1 / Ligue 2 / MLS / Premier League
smt_tirs_dom,dom,Everton,0.9578,1.1225,7.4303,8076,310,8,25.0,0.04,02/08/2024 - 01/08/2026,Bundesliga / Championship / LaLiga / LaLiga 2 / Ligue 1 / Ligue 2 / MLS / Premier League
smt_tirs_dom,dom,LA Galaxy,1.0402,1.0446,7.4303,8076,310,8,25.0,0.04,02/08/2024 - 01/08/2026,Bundesliga / Championship / LaLiga / LaLiga 2 / Ligue 1 / Ligue 2 / MLS / Premier League
smt_tirs_dom,dom,Felgueiras,0.6558,0.781,7.4303,8076,310,8,25.0,0.04,02/08/2024 - 01/08/2026,Bundesliga / Championship / LaLiga / LaLiga 2 / Ligue 1 / Ligue 2 / MLS / Premier League
